index,arrival_time,departure_time,required_energy
1,0.6,2.9,27.9
2,5.5,11.0,27.1
3,6.8,8.1,18.9
4,7.6,8.1,1.0
5,8.6,9.2,5.0
6,9.1,10.0,1.8
7,9.1,9.5,6.2
8,9.3,11.8,35.7
9,9.8,11.5,31.0
10,9.9,11.5,27.3
11,10.3,11.3,9.2
12,10.4,12.2,24.7
13,10.5,10.7,3.6
14,10.7,11.7,19.5
15,11.1,12.2,10.6
16,11.3,11.6,6.4
17,11.6,15.0,18.5
18,11.9,13.0,19.6
19,12.2,13.5,15.4
20,12.4,12.6,2.3
21,12.6,15.2,39.4
22,12.7,13.9,25.5
23,12.7,13.4,11.8
24,12.8,18.2,31.8
25,13.1,13.9,15.6
26,13.2,13.6,4.8
27,14.0,14.8,16.1
28,14.0,16.5,10.8
29,14.0,14.3,5.7
30,14.1,14.6,1.0
31,14.3,16.1,22.1
32,14.6,16.9,36.8
33,14.7,15.3,11.2
34,15.1,16.2,24.0
35,15.1,15.8,14.3
36,15.4,16.0,11.5
37,15.4,15.8,5.1
38,16.1,16.7,8.1
39,16.5,18.4,29.5
40,17.1,18.1,11.3
41,17.4,17.6,3.6
42,17.4,17.6,4.3
43,19.1,19.5,5.9
44,19.2,20.6,25.5
45,19.7,20.0,5.1
46,20.5,24.0,27.0
47,22.5,23.1,5.4
48,23.0,24.0,20.1
49,23.0,23.3,5.2
50,23.0,24.0,6.4
